BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2/27/2017,AP,906822,UNITED STATES POSTAL SERVICE,1/3/2017,1/31/2017,FRANKED MAIL,10.01,2017,UNITED STATES POSTAL SERVICE
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3/29/2017,AP,912278,UNITED STATES POSTAL SERVICE,2/1/2017,2/28/2017,FRANKED MAIL,76.64,2017,UNITED STATES POSTAL SERVICE
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3/31/2017,GL,FLG0067145, ,3/20/2017,3/31/2017,FRANKED MAIL,-25.5,2017, 
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,   ,   ,   ,BRANDENBURG DUSTIN J,1/3/2017,3/31/2017,SCHEDULER,19555.57,2017,BRANDENBURG DUSTIN J
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,   ,   ,   ,CLOUD HAMILTON S,1/3/2017,3/31/2017,SPECIAL EVENTS DIRECTOR,14901.33,2017,CLOUD HAMILTON S
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,   ,   ,   ,COOPER ZACHARY,1/3/2017,3/31/2017,STAFF ASSISTANT,8555.56,2017,COOPER ZACHARY
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,   ,   ,   ,JIMENEZ BLANCA E.,1/3/2017,3/31/2017,CONGRESSIONAL AIDE,20799.03,2017,JIMENEZ BLANCA E.
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,   ,   ,   ,KAAI KRYSTAL C,2/1/2017,2/28/2017,SHARED EMPLOYEE,1000,2017,KAAI KRYSTAL C
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,   ,   ,   ,LAWSON DION A,1/3/2017,3/31/2017,FINANCIAL ADMINISTRATOR,5000.01,2017,LAWSON DION A
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,   ,   ,   ,NICHOLSON TERRY M,1/3/2017,3/31/2017,STAFF ASSISTANT,10430.93,2017,NICHOLSON TERRY M
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,   ,   ,   ,POWELL JASON R,1/23/2017,3/31/2017,LEGISLATIVE DIRECTOR,2373.2,2017,POWELL JASON R
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,   ,   ,   ,REZAEE-ROD PANIZ,1/3/2017,3/31/2017,SHARED EMPLOYEE,1222.23,2017,REZAEE-ROD PANIZ
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,   ,   ,   ,SAMUEL TWAUN,1/3/2017,3/31/2017,CHIEF OF STAFF,14666.67,2017,SAMUEL TWAUN
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,   ,   ,   ,SANCHEZ ANDREW,1/3/2017,3/31/2017,PAID INTERN,4400,2017,SANCHEZ ANDREW
W000187,HON. MAXINE WATERS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,   ,   ,   ,SENGSTOCK KATHLEEN,1/3/2017,3/31/2017,LEGISLATIVE ASSISTANT,18103.88,2017,SENGSTOCK KATHLEEN
