BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/9/2017,AP,E0476005,HAGUE QUALITY WATER OF MD INC,1/3/2017,12/31/2017,WATER,3780,2017,HAGUE QUALITY WATER OF MD INC
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,217.71,2017,DEER PARK
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,111.83,2017,DEER PARK
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,101.36,2016,DEER PARK
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/30/2017,AP,E0482306,READYREFRESH BY NESTLE,12/2/2016,12/26/2016,WATER,747.78,2016,READYREFRESH BY NESTLE
,OFFICE OF THE MAJORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/15/2017,AP,E0487729,READYREFRESH BY NESTLE,12/27/2016,1/26/2017,WATER,245.92,2017,READYREFRESH BY NESTLE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484046,HAGUE QUALITY WATER OF MD INC,2/1/2017,12/31/2017,WATER,4158,2017,HAGUE QUALITY WATER OF MD INC
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484047,HAGUE QUALITY WATER OF MD INC,1/1/2017,1/31/2017,WATER,378,2017,HAGUE QUALITY WATER OF MD INC
,OFFICE OF THE MAJORITY WHIP,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0484024,QUENCH,2/1/2017,2/28/2017,WATER,46.53,2017,QUENCH
,OFFICE OF THE MAJORITY WHIP,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/14/2017,AP,E0495493,QUENCH,3/1/2017,3/31/2017,WATER,46.53,2017,QUENCH
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,29.99,2017,DEER PARK
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,29.99,2017,DEER PARK
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/20/2017,AP,900787,DEER PARK,12/31/2016,12/31/2016,WATER,29.99,2016,DEER PARK
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/7/2017,AP,E0485079,HAGUE QUALITY WATER OF MD INC,2/1/2017,2/28/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/7/2017,AP,E0485081,HAGUE QUALITY WATER OF MD INC,1/1/2017,1/31/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/13/2017,AP,E0487847,ARAMARK REFRESHMENT SERVICES,1/12/2017,1/12/2017,WATER,60,2017,ARAMARK REFRESHMENT SERVICES
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/27/2017,AP,906775,DEER PARK,1/31/2017,1/31/2017,WATER,454.45,2017,DEER PARK
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/9/2017,AP,E0494480,HAGUE QUALITY WATER OF MD INC,3/1/2017,3/31/2017,WATER,63,2017,HAGUE QUALITY WATER OF MD INC
,REPUBLICAN CONFERENCE,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/28/2017,AP,912405,DEER PARK,2/28/2017,2/28/2017,WATER,254.45,2017,DEER PARK
